iter	Passed	Remaining
0	1	165
1	2	145
2	4	140
3	5	130
4	7	139
5	8	130
6	9	127
7	10	123
8	12	126
9	13	120
10	14	116
11	15	112
12	16	108
13	16	104
14	17	100
15	18	97
16	19	95
17	20	93
18	21	91
19	22	88
20	23	86
21	23	84
22	24	82
23	25	80
24	25	77
25	26	75
26	27	73
27	27	71
28	28	69
29	29	68
30	30	66
31	30	65
32	31	63
33	32	62
34	32	60
35	33	59
36	34	58
37	34	56
38	35	55
39	36	54
40	37	53
41	37	52
42	38	51
43	39	49
44	39	48
45	40	47
46	41	46
47	42	45
48	42	44
49	43	43
50	44	42
51	45	41
52	46	41
53	47	40
54	47	39
55	48	38
56	49	37
57	50	36
58	51	35
59	51	34
60	52	33
61	53	32
62	54	31
63	54	30
64	55	30
65	56	29
66	57	28
67	58	27
68	58	26
69	59	25
70	60	24
71	61	23
72	61	22
73	63	22
74	63	21
75	64	20
76	65	19
77	66	18
78	66	17
79	67	16
80	68	16
81	69	15
82	69	14
83	70	13
84	71	12
85	72	11
86	72	10
87	73	10
88	74	9
89	75	8
90	75	7
91	76	6
92	77	5
93	78	4
94	78	4
95	79	3
96	80	2
97	80	1
98	81	0
99	82	0
