iter	Passed	Remaining
0	85	85515
1	86	43001
2	86	28898
3	87	21788
4	88	17564
5	88	14709
6	89	12672
7	89	11143
8	90	9948
9	90	8999
10	91	8230
11	92	7584
12	92	7044
13	93	6571
14	93	6162
15	94	5798
16	94	5482
17	95	5215
18	96	4966
19	96	4749
20	97	4551
21	98	4364
22	98	4193
23	99	4038
24	99	3894
25	100	3763
26	101	3644
27	101	3532
28	102	3425
29	102	3328
30	103	3238
31	104	3151
32	104	3068
33	105	2994
34	105	2917
35	106	2850
36	106	2784
37	107	2722
38	108	2665
39	108	2607
40	109	2555
41	109	2504
42	110	2454
43	110	2409
44	111	2364
45	112	2323
46	112	2283
47	113	2244
48	113	2209
49	114	2173
50	115	2140
51	115	2108
52	116	2075
53	116	2044
54	117	2013
55	117	1987
56	118	1959
57	119	1934
58	119	1909
59	120	1886
60	121	1863
61	121	1841
62	122	1819
63	122	1798
64	123	1776
65	124	1755
66	124	1735
67	125	1717
68	125	1698
69	126	1680
70	127	1663
71	127	1645
72	128	1629
73	128	1612
74	129	1597
75	130	1580
76	130	1565
77	131	1549
78	131	1535
79	132	1521
80	132	1506
81	133	1493
82	133	1477
83	134	1464
84	134	1452
85	135	1440
86	136	1428
87	136	1415
88	137	1403
89	137	1392
90	138	1381
91	138	1369
92	139	1359
93	140	1350
94	140	1340
95	141	1330
96	141	1320
97	142	1309
98	142	1300
99	143	1292
100	144	1282
101	144	1273
102	145	1264
103	145	1256
104	146	1248
105	147	1241
106	147	1232
107	148	1224
108	148	1216
109	149	1208
110	149	1200
111	150	1192
112	151	1185
113	151	1177
114	152	1170
115	152	1164
116	153	1156
117	153	1149
118	154	1142
119	154	1136
120	155	1129
121	156	1122
122	156	1116
123	157	1109
124	157	1103
125	158	1097
126	158	1090
127	159	1084
128	159	1078
129	160	1072
130	160	1067
131	161	1061
132	161	1055
133	162	1050
134	163	1044
135	163	1039
136	164	1034
137	164	1028
138	165	1024
139	165	1018
140	166	1013
141	166	1007
142	167	1003
143	167	998
144	168	993
145	169	988
146	169	984
147	170	979
148	170	974
149	171	969
150	171	965
151	172	960
152	172	956
153	173	952
154	173	947
155	174	943
156	174	939
157	175	935
158	175	930
159	176	926
160	176	921
161	177	917
162	178	914
163	178	910
164	179	907
165	179	903
166	180	900
167	181	896
168	181	892
169	182	888
170	182	885
171	183	881
172	183	877
173	184	874
174	184	871
175	185	868
176	185	864
177	186	861
178	187	857
179	187	854
180	188	851
181	188	847
182	189	844
183	189	841
184	190	837
185	190	834
186	191	831
187	191	828
188	192	825
189	192	822
190	193	819
191	193	816
192	194	813
193	195	810
194	195	807
195	196	804
196	196	801
197	197	799
198	197	795
199	198	793
200	198	790
201	199	787
202	199	785
203	200	782
204	201	779
205	201	776
206	202	774
207	202	771
208	203	769
209	203	766
210	204	763
211	204	761
212	205	758
213	205	756
214	206	753
215	206	751
216	207	748
217	208	746
218	208	743
219	209	741
220	209	738
221	210	736
222	210	734
223	211	732
224	211	729
225	212	727
226	212	724
227	213	722
228	213	720
229	214	717
230	214	715
231	215	713
232	216	711
233	216	709
234	217	706
235	217	704
236	218	702
237	218	700
238	219	697
239	219	695
240	220	693
241	220	691
242	221	689
243	221	687
244	222	685
245	223	684
246	223	681
247	224	679
248	224	677
249	225	675
250	225	673
251	226	671
252	226	669
253	227	667
254	227	665
255	228	663
256	228	661
257	229	659
258	229	657
259	230	655
260	231	654
261	231	652
262	232	650
263	232	648
264	233	646
265	233	644
266	234	643
267	234	641
268	235	639
269	235	637
270	236	635
271	236	634
272	237	632
273	238	630
274	238	628
275	239	627
276	239	625
277	240	623
278	240	621
279	241	620
280	241	618
281	242	617
282	242	615
283	243	613
284	244	612
285	244	610
286	245	608
287	245	607
288	246	605
289	246	604
290	247	602
291	247	601
292	248	599
293	249	598
294	249	596
295	250	595
296	250	593
297	251	591
298	251	590
299	252	588
300	252	587
301	253	585
302	254	584
303	254	582
304	255	581
305	255	579
306	256	578
307	256	576
308	257	575
309	257	573
310	258	572
311	258	570
312	259	569
313	259	567
314	260	566
315	261	565
316	261	563
317	262	561
318	262	560
319	263	558
320	263	557
321	264	555
322	264	554
323	265	553
324	265	551
325	266	550
326	266	549
327	267	547
328	267	546
329	268	544
330	268	543
331	269	541
332	269	540
333	270	539
334	270	537
335	271	536
336	272	535
337	272	533
338	273	532
339	273	531
340	274	530
341	274	528
342	275	527
343	275	526
344	276	524
345	276	523
346	277	522
347	277	520
348	278	519
349	278	517
350	279	516
351	279	514
352	280	513
353	280	512
354	281	510
355	281	509
356	282	508
357	282	506
358	283	505
359	283	504
360	284	503
361	284	502
362	285	500
363	286	499
364	286	498
365	287	497
366	287	496
367	288	494
368	288	493
369	289	492
370	289	491
371	290	489
372	290	488
373	291	487
374	291	486
375	292	485
376	292	484
377	293	482
378	293	481
379	294	480
380	294	479
381	295	477
382	295	476
383	296	475
384	297	474
385	297	473
386	298	472
387	298	471
388	299	469
389	299	468
390	300	467
391	300	466
392	301	465
393	302	464
394	302	463
395	303	462
396	303	461
397	304	459
398	304	458
399	305	457
400	305	456
401	306	455
402	306	454
403	307	453
404	307	452
405	308	450
406	308	449
407	309	448
408	309	447
409	310	446
410	310	445
411	311	444
412	311	443
413	312	442
414	312	441
415	313	440
416	314	439
417	314	437
418	315	436
419	315	435
420	316	434
421	316	433
422	317	432
423	317	431
424	318	430
425	318	429
426	319	428
427	319	427
428	320	426
429	320	425
430	321	424
431	321	423
432	322	422
433	323	421
434	323	420
435	324	419
436	324	418
437	325	417
438	325	416
439	326	415
440	326	414
441	327	413
442	327	412
443	328	411
444	328	410
445	329	409
446	330	408
447	330	407
448	331	406
449	331	405
450	332	404
451	332	403
452	333	402
453	333	401
454	334	400
455	334	399
456	335	398
457	335	397
458	336	396
459	336	395
460	337	394
461	337	393
462	338	392
463	338	391
464	339	390
465	339	389
466	340	388
467	340	387
468	340	386
469	341	385
470	342	384
471	342	383
472	343	382
473	343	381
474	344	380
475	344	379
476	345	378
477	345	377
478	346	376
479	346	375
480	347	374
481	347	373
482	348	373
483	349	372
484	349	371
485	350	370
486	350	369
487	350	368
488	351	367
489	351	366
490	352	365
491	352	364
492	353	363
493	353	362
494	354	361
495	354	360
496	355	359
497	355	358
498	356	357
499	356	356
500	357	355
501	357	354
502	358	353
503	358	352
504	359	352
505	359	351
506	360	350
507	360	349
508	361	348
509	361	347
510	362	346
511	362	345
512	363	344
513	363	343
514	364	343
515	364	342
516	365	341
517	365	340
518	366	339
519	366	338
520	367	337
521	367	336
522	368	335
523	368	334
524	369	334
525	369	333
526	370	332
527	370	331
528	371	330
529	372	329
530	372	329
531	373	328
532	373	327
533	374	326
534	374	325
535	375	324
536	375	323
537	376	323
538	376	322
539	377	321
540	377	320
541	378	319
542	378	318
543	379	317
544	379	316
545	380	316
546	380	315
547	381	314
548	381	313
549	382	312
550	382	311
551	383	310
552	383	309
553	384	309
554	384	308
555	384	307
556	385	306
557	385	305
558	386	304
559	387	304
560	387	303
561	387	302
562	388	301
563	388	300
564	389	299
565	389	298
566	390	298
567	390	297
568	391	296
569	391	295
570	392	294
571	392	293
572	393	293
573	393	292
574	394	291
575	394	290
576	395	289
577	395	288
578	396	288
579	396	287
580	397	286
581	397	285
582	398	284
583	398	283
584	399	283
585	399	282
586	400	281
587	400	280
588	401	279
589	401	278
590	401	278
591	402	277
592	403	276
593	403	275
594	403	274
595	404	274
596	404	273
597	405	272
598	405	271
599	406	270
600	406	270
601	407	269
602	407	268
603	408	267
604	408	266
605	409	266
606	409	265
607	410	264
608	410	263
609	411	262
610	411	262
611	412	261
612	412	260
613	413	259
614	413	258
615	414	258
616	414	257
617	415	256
618	415	255
619	416	255
620	416	254
621	417	253
622	417	252
623	418	251
624	418	251
625	419	250
626	419	249
627	420	248
628	420	248
629	421	247
630	421	246
631	422	245
632	422	245
633	423	244
634	423	243
635	424	243
636	425	242
637	425	241
638	426	240
639	426	239
640	427	239
641	427	238
642	428	237
643	428	236
644	429	236
645	429	235
646	430	234
647	430	233
648	431	233
649	431	232
650	432	231
651	432	230
652	433	230
653	433	229
654	433	228
655	434	227
656	434	227
657	435	226
658	435	225
659	436	224
660	437	224
661	437	223
662	438	222
663	438	222
664	439	221
665	439	220
666	440	219
667	441	219
668	441	218
669	441	217
670	442	216
671	443	216
672	443	215
673	444	214
674	444	214
675	445	213
676	445	212
677	445	211
678	446	211
679	446	210
680	447	209
681	447	208
682	448	208
683	448	207
684	449	206
685	449	205
686	450	205
687	450	204
688	451	203
689	451	202
690	452	202
691	452	201
692	453	200
693	453	200
694	454	199
695	454	198
696	454	197
697	455	197
698	456	196
699	456	195
700	457	195
701	457	194
702	458	193
703	458	192
704	459	192
705	459	191
706	460	190
707	460	189
708	461	189
709	461	188
710	462	187
711	462	187
712	463	186
713	463	185
714	464	185
715	465	184
716	465	183
717	465	183
718	466	182
719	466	181
720	467	180
721	467	180
722	468	179
723	469	178
724	469	178
725	470	177
726	470	176
727	470	175
728	471	175
729	471	174
730	472	173
731	472	173
732	473	172
733	473	171
734	474	170
735	474	170
736	475	169
737	475	168
738	476	168
739	476	167
740	477	166
741	477	166
742	478	165
743	478	164
744	479	163
745	479	163
746	480	162
747	480	161
748	481	161
749	481	160
750	482	159
751	482	159
752	483	158
753	483	157
754	483	157
755	484	156
756	484	155
757	485	154
758	485	154
759	486	153
760	486	152
761	487	152
762	487	151
763	488	150
764	489	150
765	489	149
766	490	148
767	490	148
768	490	147
769	491	146
770	491	146
771	492	145
772	492	144
773	493	144
774	493	143
775	494	142
776	494	142
777	495	141
778	495	140
779	496	140
780	496	139
781	497	138
782	497	137
783	498	137
784	498	136
785	499	135
786	499	135
787	500	134
788	500	133
789	501	133
790	501	132
791	502	131
792	502	131
793	503	130
794	503	129
795	504	129
796	504	128
797	505	127
798	506	127
799	506	126
800	507	126
801	507	125
802	508	124
803	508	124
804	509	123
805	509	122
806	510	122
807	510	121
808	511	120
809	511	120
810	512	119
811	513	118
812	513	118
813	514	117
814	514	116
815	515	116
816	515	115
817	516	114
818	516	114
819	517	113
820	517	112
821	518	112
822	518	111
823	519	110
824	519	110
825	520	109
826	520	108
827	521	108
828	521	107
829	522	106
830	522	106
831	523	105
832	523	104
833	523	104
834	524	103
835	524	102
836	525	102
837	526	101
838	526	101
839	527	100
840	527	99
841	528	99
842	528	98
843	528	97
844	529	97
845	529	96
846	530	95
847	531	95
848	531	94
849	532	93
850	532	93
851	533	92
852	534	92
853	534	91
854	535	90
855	535	90
856	536	89
857	536	88
858	537	88
859	537	87
860	538	86
861	539	86
862	539	85
863	540	85
864	540	84
865	540	83
866	541	83
867	541	82
868	542	81
869	542	81
870	543	80
871	543	79
872	544	79
873	544	78
874	545	77
875	545	77
876	546	76
877	546	75
878	547	75
879	547	74
880	548	74
881	548	73
882	549	72
883	549	72
884	550	71
885	550	70
886	551	70
887	551	69
888	552	68
889	552	68
890	553	67
891	553	67
892	554	66
893	554	65
894	555	65
895	555	64
896	556	63
897	556	63
898	557	62
899	557	61
900	557	61
901	558	60
902	559	60
903	559	59
904	559	58
905	560	58
906	560	57
907	561	56
908	561	56
909	562	55
910	562	54
911	563	54
912	563	53
913	564	53
914	564	52
915	565	51
916	565	51
917	566	50
918	566	49
919	567	49
920	567	48
921	568	48
922	568	47
923	568	46
924	569	46
925	570	45
926	570	44
927	571	44
928	571	43
929	572	43
930	572	42
931	573	41
932	573	41
933	574	40
934	574	39
935	575	39
936	575	38
937	576	38
938	576	37
939	577	36
940	577	36
941	578	35
942	578	34
943	579	34
944	579	33
945	580	33
946	580	32
947	581	31
948	581	31
949	582	30
950	582	30
951	583	29
952	583	28
953	584	28
954	584	27
955	585	26
956	585	26
957	586	25
958	586	25
959	587	24
960	587	23
961	588	23
962	588	22
963	589	21
964	589	21
965	590	20
966	590	20
967	591	19
968	591	18
969	592	18
970	592	17
971	592	17
972	593	16
973	593	15
974	594	15
975	594	14
976	595	14
977	595	13
978	596	12
979	597	12
980	597	11
981	598	10
982	598	10
983	599	9
984	599	9
985	600	8
986	600	7
987	601	7
988	601	6
989	602	6
990	602	5
991	603	4
992	603	4
993	604	3
994	604	3
995	605	2
996	605	1
997	605	1
998	606	0
999	606	0
